City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Barra Patuca,HN,15.8,-84.28,83.71,75,10,10.04,clear sky
329,West Bay,KY,19.37,-81.42,88.05,76,40,8.05,scattered clouds
330,Wamba,NG,8.93,8.6,71.58,92,100,1.99,overcast clouds
331,Verrettes,HT,19.05,-72.47,95.52,36,5,1.25,clear sky
332,Leeuwarden,NL,53.2,5.81,68.0,76,75,0.0,broken clouds
333,Morant Bay,JM,17.88,-76.41,91.71,70,52,13.89,broken clouds
334,Sao Filipe,CV,14.9,-24.5,75.2,79,43,14.43,scattered clouds
335,Manokwari,ID,-0.87,134.08,75.74,83,100,2.46,overcast clouds
336,Dawson Creek,CA,55.77,-120.24,73.04,38,0,6.91,clear sky
337,Gat,IL,31.61,34.76,79.48,100,0,0.56,clear sky
338,Pacific Grove,US,36.62,-121.92,80.2,85,40,11.5,scattered clouds
339,Kawalu,ID,-7.38,108.21,71.8,96,100,1.43,overcast clouds
340,San Andres,CO,12.58,-81.7,86.02,79,75,13.8,broken clouds
341,Saint-Ambroise,CA,48.55,-71.33,82.58,50,98,6.91,overcast clouds
342,Triunfo,BR,-29.94,-51.72,49.59,84,18,2.35,few clouds
343,Kaitangata,NZ,-46.28,169.85,46.04,85,84,5.68,broken clouds
344,Lavrentiya,RU,65.58,-171.0,47.62,95,100,7.49,overcast clouds
345,Luwuk,ID,-0.95,122.79,74.12,95,100,4.74,moderate rain
346,Faya,SA,18.39,42.45,68.52,41,37,5.06,scattered clouds
347,Little Current,CA,45.98,-81.92,81.41,58,0,5.28,clear sky
348,San Jose,US,37.34,-121.9,96.69,43,20,11.5,few clouds
349,Avola,IT,36.91,15.14,79.09,53,0,3.69,clear sky
350,Bandarbeyla,SO,9.49,50.81,76.32,80,9,38.45,clear sky
351,Kangaatsiaq,GL,68.31,-53.46,41.16,91,89,6.8,overcast clouds
352,Wattegama,LK,6.8,81.48,75.81,85,100,3.36,overcast clouds
353,Yarada,IN,17.65,83.27,80.92,94,75,3.44,mist
354,Benguela,AO,-12.58,13.41,67.21,87,29,1.25,scattered clouds
355,Waynesboro,US,38.07,-78.89,81.79,69,75,2.77,broken clouds
356,Hualmay,PE,-11.1,-77.61,65.1,74,14,10.47,few clouds
357,Lagos,NG,6.58,3.75,74.77,87,99,4.41,overcast clouds
358,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,64.78,94,0,2.24,clear sky
359,Balad,IQ,34.02,44.15,94.03,15,0,11.56,clear sky
360,Tamandare,BR,-8.76,-35.1,74.95,81,80,8.88,broken clouds
361,Te Anau,NZ,-45.42,167.72,51.28,82,100,12.97,moderate rain
362,Surab,PK,28.49,66.26,71.1,72,97,6.67,overcast clouds
